model,threshold,precision,recall,f1,tp,fp,fn,tn
mxbai-embed-large_latest,0.53,0.7141,1.0,0.8332,2475,991,0,1009
mxbai-embed-large_latest,0.54,0.7336,1.0,0.8463,2475,899,0,1101
mxbai-embed-large_latest,0.55,0.7576,1.0,0.8621,2475,792,0,1208
mxbai-embed-large_latest,0.56,0.7803,1.0,0.8766,2475,697,0,1303
mxbai-embed-large_latest,0.57,0.7974,1.0,0.8873,2475,629,0,1371
mxbai-embed-large_latest,0.58,0.8187,1.0,0.9003,2475,548,0,1452
mxbai-embed-large_latest,0.59,0.8345,1.0,0.9098,2475,491,0,1509
mxbai-embed-large_latest,0.6,0.851,0.9996,0.9194,2474,433,1,1567
mxbai-embed-large_latest,0.61,0.8696,0.9996,0.9301,2474,371,1,1629
mxbai-embed-large_latest,0.62,0.8852,0.9996,0.9389,2474,321,1,1679
mxbai-embed-large_latest,0.63,0.8977,0.9996,0.9459,2474,282,1,1718
mxbai-embed-large_latest,0.64,0.9079,0.9996,0.9515,2474,251,1,1749
mxbai-embed-large_latest,0.65,0.9197,0.9992,0.9578,2473,216,2,1784
mxbai-embed-large_latest,0.66,0.935,0.9992,0.966,2473,172,2,1828
mxbai-embed-large_latest,0.67,0.9417,0.9988,0.9694,2472,153,3,1847
mxbai-embed-large_latest,0.68,0.9482,0.9988,0.9728,2472,135,3,1865
mxbai-embed-large_latest,0.69,0.9567,0.9988,0.9773,2472,112,3,1888
mxbai-embed-large_latest,0.7,0.9622,0.9968,0.9792,2467,97,8,1903
mxbai-embed-large_latest,0.71,0.9663,0.996,0.9809,2465,86,10,1914
mxbai-embed-large_latest,0.72,0.9727,0.9943,0.9834,2461,69,14,1931
mxbai-embed-large_latest,0.73,0.98,0.9903,0.9851,2451,50,24,1950
mxbai-embed-large_latest,0.74,0.9831,0.9859,0.9845,2440,42,35,1958
mxbai-embed-large_latest,0.75,0.9858,0.983,0.9844,2433,35,42,1965
mxbai-embed-large_latest,0.76,0.9886,0.9774,0.9829,2419,28,56,1972
mxbai-embed-large_latest,0.77,0.9901,0.9697,0.9798,2400,24,75,1976
mxbai-embed-large_latest,0.78,0.9917,0.9608,0.976,2378,20,97,1980
mxbai-embed-large_latest,0.79,0.9924,0.9507,0.9711,2353,18,122,1982
mxbai-embed-large_latest,0.8,0.9935,0.9333,0.9625,2310,15,165,1985
mxbai-embed-large_latest,0.81,0.996,0.9143,0.9534,2263,9,212,1991
mxbai-embed-large_latest,0.82,0.9964,0.8917,0.9412,2207,8,268,1992
mxbai-embed-large_latest,0.83,0.9972,0.8651,0.9264,2141,6,334,1994
mxbai-embed-large_latest,0.84,0.9971,0.8295,0.9056,2053,6,422,1994
mxbai-embed-large_latest,0.85,0.9979,0.779,0.875,1928,4,547,1996
mxbai-embed-large_latest,0.86,0.9983,0.7253,0.8402,1795,3,680,1997
mxbai-embed-large_latest,0.87,0.9994,0.6727,0.8042,1665,1,810,1999
mxbai-embed-large_latest,0.88,0.9993,0.6125,0.7595,1516,1,959,1999
mxbai-embed-large_latest,0.89,0.9993,0.5499,0.7094,1361,1,1114,1999
mxbai-embed-large_latest,0.9,0.9991,0.4735,0.6425,1172,1,1303,1999
mxbai-embed-large_latest,0.91,0.999,0.402,0.5733,995,1,1480,1999
mxbai-embed-large_latest,0.92,0.9988,0.3293,0.4953,815,1,1660,1999
mxbai-embed-large_latest,0.93,0.9984,0.2461,0.3948,609,1,1866,1999
mxbai-embed-large_latest,0.94,0.9976,0.1677,0.2871,415,1,2060,1999
mxbai-embed-large_latest,0.95,0.9961,0.1034,0.1874,256,1,2219,1999
mxbai-embed-large_latest,0.96,0.9915,0.0469,0.0895,116,1,2359,1999
mxbai-embed-large_latest,0.97,0.9643,0.0109,0.0216,27,1,2448,1999
mxbai-embed-large_latest,0.98,0.6667,0.0008,0.0016,2,1,2473,1999
mxbai-embed-large_latest,0.99,0.0,0.0,0.0,0,1,2475,1999
nomic-embed-text_latest,0.5,0.5593,1.0,0.7174,2475,1950,0,50
nomic-embed-text_latest,0.51,0.5626,1.0,0.7201,2475,1924,0,76
nomic-embed-text_latest,0.52,0.5673,1.0,0.7239,2475,1888,0,112
nomic-embed-text_latest,0.53,0.5745,1.0,0.7298,2475,1833,0,167
nomic-embed-text_latest,0.54,0.5841,1.0,0.7375,2475,1762,0,238
nomic-embed-text_latest,0.55,0.5978,1.0,0.7483,2475,1665,0,335
nomic-embed-text_latest,0.56,0.614,1.0,0.7608,2475,1556,0,444
nomic-embed-text_latest,0.57,0.6314,1.0,0.774,2475,1445,0,555
nomic-embed-text_latest,0.58,0.651,1.0,0.7886,2475,1327,0,673
nomic-embed-text_latest,0.59,0.6779,1.0,0.808,2475,1176,0,824
nomic-embed-text_latest,0.6,0.7027,1.0,0.8254,2475,1047,0,953
nomic-embed-text_latest,0.61,0.7325,1.0,0.8456,2475,904,0,1096
nomic-embed-text_latest,0.62,0.7608,1.0,0.8642,2475,778,0,1222
nomic-embed-text_latest,0.63,0.788,1.0,0.8814,2475,666,0,1334
nomic-embed-text_latest,0.64,0.8141,1.0,0.8976,2475,565,0,1435
nomic-embed-text_latest,0.65,0.8367,1.0,0.9111,2475,483,0,1517
nomic-embed-text_latest,0.66,0.8597,1.0,0.9245,2475,404,0,1596
nomic-embed-text_latest,0.67,0.8823,0.9992,0.9371,2473,330,2,1670
nomic-embed-text_latest,0.68,0.8995,0.998,0.9462,2470,276,5,1724
nomic-embed-text_latest,0.69,0.9181,0.9968,0.9558,2467,220,8,1780
nomic-embed-text_latest,0.7,0.9326,0.9943,0.9625,2461,178,14,1822
