model,threshold,precision,recall,f1,tp,fp,fn,tn
nomic-embed-text_latest,0.54,0.5787,1.0,0.7331,2475,1802,0,198
nomic-embed-text_latest,0.55,0.5908,1.0,0.7428,2475,1714,0,286
nomic-embed-text_latest,0.56,0.6069,1.0,0.7554,2475,1603,0,397
nomic-embed-text_latest,0.57,0.6272,1.0,0.7709,2475,1471,0,529
nomic-embed-text_latest,0.58,0.6518,1.0,0.7892,2475,1322,0,678
nomic-embed-text_latest,0.59,0.6753,1.0,0.8062,2475,1190,0,810
nomic-embed-text_latest,0.6,0.7021,1.0,0.825,2475,1050,0,950
nomic-embed-text_latest,0.61,0.7344,1.0,0.8469,2475,895,0,1105
nomic-embed-text_latest,0.62,0.7665,1.0,0.8678,2475,754,0,1246
nomic-embed-text_latest,0.63,0.7948,1.0,0.8857,2475,639,0,1361
nomic-embed-text_latest,0.64,0.8247,1.0,0.9039,2475,526,0,1474
nomic-embed-text_latest,0.65,0.8508,1.0,0.9194,2475,434,0,1566
nomic-embed-text_latest,0.66,0.878,1.0,0.935,2475,344,0,1656
nomic-embed-text_latest,0.67,0.9012,0.9992,0.9477,2473,271,2,1729
nomic-embed-text_latest,0.68,0.9233,0.9976,0.959,2469,205,6,1795
nomic-embed-text_latest,0.69,0.9384,0.9968,0.9667,2467,162,8,1838
nomic-embed-text_latest,0.7,0.9524,0.9939,0.9727,2460,123,15,1877
nomic-embed-text_latest,0.71,0.9598,0.9927,0.976,2457,103,18,1897
nomic-embed-text_latest,0.72,0.9702,0.9883,0.9792,2446,75,29,1925
nomic-embed-text_latest,0.73,0.9799,0.9834,0.9816,2434,50,41,1950
nomic-embed-text_latest,0.74,0.9853,0.9774,0.9813,2419,36,56,1964
nomic-embed-text_latest,0.75,0.9872,0.9677,0.9774,2395,31,80,1969
nomic-embed-text_latest,0.76,0.9899,0.9543,0.9718,2362,24,113,1976
nomic-embed-text_latest,0.77,0.9923,0.9386,0.9647,2323,18,152,1982
